DISTRICTCODE,Date,TINF,TREC,TDEC
1,12-04-2020,8,0,1
2,12-04-2020,6,0,0
3,12-04-2020,14,0,0
4,12-04-2020,4,0,0
5,12-04-2020,76,23,1
6,12-04-2020,11,0,0
7,12-04-2020,0,0,0
8,12-04-2020,9,6,0
9,12-04-2020,0,0,0
10,12-04-2020,0,0,0
11,12-04-2020,12,6,0
12,12-04-2020,3,2,0
13,12-04-2020,2,1,0
14,12-04-2020,1,0,1
15,12-04-2020,0,0,0
16,12-04-2020,0,0,0
17,12-04-2020,13,2,2
18,12-04-2020,0,0,0
19,12-04-2020,0,0,0
20,12-04-2020,0,0,0
21,12-04-2020,5,0,0
22,12-04-2020,48,9,0
23,12-04-2020,0,0,0
24,12-04-2020,0,0,0
25,12-04-2020,0,0,0
26,12-04-2020,1,0,1
27,12-04-2020,3,1,0
28,12-04-2020,9,2,0
29,12-04-2020,6,0,0
30,12-04-2020,0,0,0
31,12-04-2020,0,0,0
1,13-04-2020,9,0,1
2,13-04-2020,6,0,0
3,13-04-2020,17,0,0
4,13-04-2020,5,0,0
5,13-04-2020,77,27,1
6,13-04-2020,13,0,0
7,13-04-2020,0,0,0
8,13-04-2020,9,6,0
9,13-04-2020,0,0,0
10,13-04-2020,0,0,0
11,13-04-2020,12,7,0
12,13-04-2020,3,2,0
13,13-04-2020,6,1,0
14,13-04-2020,1,0,1
15,13-04-2020,0,0,0
16,13-04-2020,0,0,0
17,13-04-2020,13,2,2
18,13-04-2020,1,1,0
19,13-04-2020,0,0,0
20,13-04-2020,0,0,0
21,13-04-2020,8,0,0
22,13-04-2020,48,10,0
23,13-04-2020,0,0,0
24,13-04-2020,0,0,0
25,13-04-2020,0,0,0
26,13-04-2020,1,0,1
27,13-04-2020,3,1,0
28,13-04-2020,9,2,0
29,13-04-2020,6,0,0
30,13-04-2020,0,0,0
31,13-04-2020,0,0,0
1,14-04-2020,12,0,1
2,14-04-2020,6,0,0
3,14-04-2020,18,0,0
4,14-04-2020,12,0,0
5,14-04-2020,69,32,2
6,14-04-2020,13,0,0
7,14-04-2020,0,0,0
8,14-04-2020,13,8,1
9,14-04-2020,0,0,0
10,14-04-2020,1,1,0
11,14-04-2020,11,7,0
12,14-04-2020,2,2,0
