DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,
43,21/06/2020,84,31,0,,,,,,
44,21/06/2020,550,110,0,,,,,,
32,22/06/2020,870,299,7,,,,,,
33,22/06/2020,591,272,6,,,,,,
34,22/06/2020,619,292,5,,,,,,
35,22/06/2020,802,501,11,,,,,,
36,22/06/2020,430,157,0,,,,,,
37,22/06/2020,1063,463,37,,,,,,
38,22/06/2020,1354,762,35,,,,,,
39,22/06/2020,477,249,4,,,,,,
40,22/06/2020,187,96,2,,,,,,
41,22/06/2020,59,22,1,,,,,,
42,22/06/2020,305,178,2,,,,,,
43,22/06/2020,90,31,0,,,,,,
44,22/06/2020,604,115,1,,,,,,
32,23/06/2020,938,310,7,,,,,,
33,23/06/2020,617,275,6,,,,,,
34,23/06/2020,706,293,5,,,,,,
35,23/06/2020,852,501,12,,,,,,
36,23/06/2020,454,175,1,,,,,,
37,23/06/2020,1096,507,40,,,,,,
38,23/06/2020,1407,777,38,,,,,,
39,23/06/2020,484,282,4,,,,,,
40,23/06/2020,192,100,2,,,,,,
41,23/06/2020,60,22,1,,,,,,
42,23/06/2020,326,178,2,,,,,,
43,23/06/2020,91,31,0,,,,,,
44,23/06/2020,635,115,1,,,,,,
32,24/06/2020,1028,347,7,,,,,,
33,24/06/2020,657,284,6,,,,,,
34,24/06/2020,760,305,5,,,,,,
35,24/06/2020,891,501,14,,,,,,
36,24/06/2020,478,205,1,,,,,,
37,24/06/2020,1132,514,43,,,,,,
38,24/06/2020,1483,807,42,,,,,,
39,24/06/2020,493,295,4,,,,,,
40,24/06/2020,200,100,2,,,,,,
41,24/06/2020,60,22,2,,,,,,
42,24/06/2020,367,186,2,,,,,,
43,24/06/2020,94,31,0,,,,,,
44,24/06/2020,663,115,1,,,,,,
32,25/06/2020,1080,347,7,,,,,,
33,25/06/2020,699,289,6,,,,,,
34,25/06/2020,824,308,6,,,,,,
35,25/06/2020,958,511,16,,,,,,
36,25/06/2020,500,219,1,,,,,,
37,25/06/2020,1179,519,45,,,,,,
38,25/06/2020,1555,827,44,,,,,,
39,25/06/2020,522,306,4,,,,,,
40,25/06/2020,218,128,2,,,,,,
41,25/06/2020,61,36,2,,,,,,
42,25/06/2020,407,186,2,,,,,,
43,25/06/2020,99,39,0,,,,,,
44,25/06/2020,681,115,1,,,,,,
32,26/06/2020,1159,388,7,,,,,,
33,26/06/2020,725,290,6,,,,,,
34,26/06/2020,836,311,6,,,,,,
35,26/06/2020,1032,538,17,,,,,,
36,26/06/2020,633,244,1,,,,,,
37,26/06/2020,1199,524,49,,,,,,
38,26/06/2020,1615,873,48,,,,,,
39,26/06/2020,537,306,4,,,,,,
40,26/06/2020,246,133,2,,,,,,
41,26/06/2020,62,36,2,,,,,,
42,26/06/2020,427,223,3,,,,,,
43,26/06/2020,122,39,0,,,,,,
44,26/06/2020,760,116,1,,,,,,
32,27/06/2020,1320,463,7,,,,,,
33,27/06/2020,809,310,6,,,,,,
34,27/06/2020,945,315,7,,,,,,
35,27/06/2020,1103,538,17,,,,,,
36,27/06/2020,683,248,1,,,,,,
37,27/06/2020,1252,560,53,,,,,,
38,27/06/2020,1684,931,52,,,,,,
39,27/06/2020,561,327,4,,,,,,
40,27/06/2020,272,147,2,,,,,,
41,27/06/2020,62,38,2,,,,,,
42,27/06/2020,461,227,3,,,,,,
43,27/06/2020,137,39,1,,,,,,
44,27/06/2020,804,141,2,,,,,,
32,28/06/2020,1371,702,7,,,,,,
33,28/06/2020,891,335,6,,,,,,
34,28/06/2020,1002,329,7,,,,,,
35,28/06/2020,1193,552,17,,,,,,
36,28/06/2020,794,280,1,,,,,,
37,28/06/2020,1331,572,58,,,,,,
38,28/06/2020,1787,959,58,,,,,,
39,28/06/2020,579,327,4,,,,,,
40,28/06/2020,313,147,2,,,,,,
41,28/06/2020,62,39,2,,,,,,
42,28/06/2020,505,231,3,,,,,,
43,28/06/2020,145,43,1,,,,,,
44,28/06/2020,875,169,3,,,,,,
32,29/06/2020,1467,838,7,,,,,,
33,29/06/2020,947,338,6,,,,,,
34,29/06/2020,1074,339,7,,,,,,
35,29/06/2020,1291,574,17,,,,,,
36,29/06/2020,865,309,1,,,,,,
37,29/06/2020,1383,579,60,,,,,,
38,29/06/2020,1873,965,63,,,,,,
39,29/06/2020,603,348,6,,,,,,
40,29/06/2020,339,180,2,,,,,,
41,29/06/2020,62,39,2,,,,,,
42,29/06/2020,516,250,3,,,,,,
43,29/06/2020,146,43,2,,,,,,
44,29/06/2020,988,185,4,,,,,,
32,30/06/2020,1571,915,8,,,,,,
33,30/06/2020,1054,369,6,,,,,,
34,30/06/2020,1129,341,7,,,,,,
35,30/06/2020,1349,594,18,,,,,,
36,30/06/2020,940,347,1,,,,,,
37,30/06/2020,1467,600,63,,,,,,
38,30/06/2020,1955,978,65,,,,,,
39,30/06/2020,608,367,6,,,,,,
40,30/06/2020,370,200,2,,,,,,
41,30/06/2020,63,39,2,,,,,,
42,30/06/2020,542,254,3,,,,,,
43,30/06/2020,159,49,2,,,,,,
44,30/06/2020,995,192,4,,,,,,
32,01/07/2020,1689,1005,8,,,,,,
33,01/07/2020,1089,399,6,,,,,,
34,01/07/2020,1209,350,7,,,,,,
35,01/07/2020,1426,594,18,,,,,,
36,01/07/2020,1000,380,1,,,,,,
37,01/07/2020,1519,614,66,,,,,,
38,01/07/2020,2045,1055,68,,,,,,
39,01/07/2020,641,367,6,,,,,,
40,01/07/2020,398,220,2,,,,,,
41,01/07/2020,63,51,2,,,,,,
42,01/07/2020,563,311,3,,,,,,
43,01/07/2020,161,49,2,,,,,,
44,01/07/2020,1010,192,4,,,,,,
32,02/07/2020,1823,1083,9,,,,,,
33,02/07/2020,1136,411,6,,,,,,
34,02/07/2020,1331,368,7,,,,,,
35,02/07/2020,1530,670,19,,,,,,
36,02/07/2020,1101,404,1,,,,,,
37,02/07/2020,1594,629,67,,,,,,
38,02/07/2020,2120,1058,69,,,,,,
39,02/07/2020,643,367,6,,,,,,
40,02/07/2020,477,240,2,,,,,,
41,02/07/2020,63,52,3,,,,,,
42,02/07/2020,570,313,3,,,,,,
43,02/07/2020,174,55,2,,,,,,
44,02/07/2020,1063,218,4,,,,,,
32,03/07/2020,1972,1111,9,,,,,,
33,03/07/2020,1183,411,8,,,,,,
34,03/07/2020,1387,388,8,,,,,,
35,03/07/2020,1610,713,19,,,,,,
36,03/07/2020,1120,426,1,,,,,,
37,03/07/2020,1611,653,68,,,,,,
38,03/07/2020,2236,1089,73,,,,,,
39,03/07/2020,658,374,6,,,,,,
40,03/07/2020,616,267,2,,,,,,
41,03/07/2020,93,54,3,,,,,,
42,03/07/2020,624,316,3,,,,,,
43,03/07/2020,184,56,2,,,,,,
44,03/07/2020,1120,268,4,,,,,,
32,04/07/2020,2099,1139,9,,,,,,
33,04/07/2020,1250,463,10,,,,,,
34,04/07/2020,1489,416,8,,,,,,
35,04/07/2020,1670,713,19,,,,,,
36,04/07/2020,1193,426,2,,,,,,
37,04/07/2020,1681,669,68,,,,,,
38,04/07/2020,2354,1147,76,,,,,,
39,04/07/2020,685,374,6,,,,,,
40,04/07/2020,673,305,2,,,,,,
41,04/07/2020,93,54,6,,,,,,
42,04/07/2020,633,359,5,,,,,,
43,04/07/2020,197,63,3,,,,,,
44,04/07/2020,1124,309,4,,,,,,
32,05/07/2020,2186,1247,12,,,,,,
33,05/07/2020,1324,463,12,,,,,,
34,05/07/2020,1607,444,8,,,,,,
35,05/07/2020,1827,745,19,,,,,,
36,05/07/2020,1245,440,4,,,,,,
37,05/07/2020,1743,671,69,,,,,,
38,05/07/2020,2451,1217,81,,,,,,
39,05/07/2020,730,382,6,,,,,,
40,05/07/2020,700,375,2,,,,,,
41,05/07/2020,189,54,6,,,,,,
42,05/07/2020,721,378,6,,,,,,
43,05/07/2020,215,63,3,,,,,,
44,05/07/2020,1164,349,4,,,,,,
32,06/07/2020,2328,1359,13,,,,,,
33,06/07/2020,1444,574,13,,,,,,
34,06/07/2020,1778,471,8,,,,,,
35,06/07/2020,2024,775,20,,,,,,
36,06/07/2020,1341,455,4,,,,,,
37,06/07/2020,1798,672,70,,,,,,
38,06/07/2020,2587,1267,81,,,,,,
39,06/07/2020,771,382,6,,,,,,
